iter	Passed	Remaining
0	10	10018
1	14	7070
2	19	6591
3	26	6596
4	29	5908
5	35	5808
6	41	5823
7	45	5679
8	50	5606
9	57	5647
10	61	5555
11	66	5497
12	71	5401
13	74	5244
14	79	5217
15	84	5207
16	91	5270
17	96	5273
18	101	5225
19	105	5176
20	111	5178
21	115	5134
22	121	5179
23	126	5138
24	130	5077
25	134	5032
26	140	5064
27	144	5029
28	150	5036
29	155	5039
30	160	5022
31	165	5008
32	171	5018
33	175	4999
34	180	4984
35	186	4984
36	191	4981
37	196	4974
38	201	4965
39	206	4955
40	211	4936
41	215	4922
42	220	4908
43	226	4924
44	231	4912
45	238	4941
46	243	4927
47	247	4900
48	253	4925
49	258	4916
50	261	4870
51	263	4811
52	269	4813
53	274	4808
54	279	4799
55	284	4796
56	289	4793
57	293	4774
58	299	4781
59	304	4775
60	310	4772
61	314	4764
62	320	4769
63	326	4772
64	331	4774
65	338	4783
66	342	4775
67	345	4730
68	350	4733
69	355	4724
70	360	4714
71	366	4726
72	371	4718
73	376	4707
74	382	4711
75	386	4705
76	392	4701
77	397	4701
78	402	4692
79	408	4697
80	414	4697
81	418	4688
82	421	4659
83	426	4654
84	432	4650
85	437	4647
86	442	4641
87	449	4654
88	454	4647
89	460	4653
90	463	4626
91	467	4609
92	472	4607
93	476	4597
94	482	4594
95	486	4585
96	492	4583
97	498	4585
98	502	4577
99	509	4582
100	512	4557
101	516	4548
102	519	4519
103	521	4492
104	523	4465
105	529	4465
106	534	4457
107	536	4434
108	543	4438
109	548	4434
110	553	4431
111	556	4411
112	560	4397
113	563	4379
114	569	4380
115	570	4349
116	576	4351
117	581	4347
118	587	4346
119	592	4347
120	597	4342
121	602	4336
122	608	4339
123	614	4342
124	620	4346
125	628	4356
126	632	4349
127	638	4346
128	642	4339
129	647	4332
130	649	4310
131	654	4303
132	659	4301
133	664	4296
134	670	4294
135	675	4294
136	680	4289
137	686	4290
138	692	4287
139	696	4280
140	702	4277
141	707	4276
142	710	4257
143	715	4254
144	721	4256
145	727	4252
146	732	4252
147	738	4252
148	744	4250
149	749	4245
150	753	4235
151	756	4222
152	761	4217
153	766	4212
154	772	4210
155	774	4191
156	779	4185
157	784	4179
158	787	4167
159	793	4165
160	798	4160
161	804	4161
162	806	4142
163	812	4140
164	815	4126
165	820	4124
166	825	4119
167	830	4114
168	835	4107
169	840	4104
170	845	4098
171	850	4096
172	856	4096
173	862	4092
174	865	4082
175	871	4080
176	876	4074
177	879	4062
178	885	4060
179	891	4062
180	896	4057
181	903	4058
182	908	4054
183	913	4051
184	918	4046
185	923	4042
186	926	4025
187	931	4022
188	937	4022
189	942	4019
190	948	4018
191	954	4018
192	959	4012
193	964	4007
194	971	4011
195	978	4011
196	984	4011
197	989	4009
198	995	4008
199	1000	4003
200	1004	3991
201	1009	3986
202	1014	3982
203	1020	3980
204	1024	3974
205	1030	3973
206	1037	3972
207	1043	3972
208	1048	3969
209	1054	3965
210	1059	3962
211	1064	3958
212	1070	3955
213	1076	3954
214	1081	3947
215	1086	3942
216	1091	3939
217	1096	3933
218	1102	3930
219	1107	3925
220	1112	3921
221	1118	3918
222	1122	3912
223	1128	3910
224	1134	3909
225	1140	3904
226	1145	3900
227	1150	3895
228	1156	3894
229	1162	3891
230	1167	3887
231	1172	3882
232	1177	3876
233	1183	3873
234	1188	3870
235	1194	3865
236	1199	3862
237	1205	3859
238	1211	3857
239	1217	3854
240	1223	3852
241	1228	3847
242	1235	3848
243	1241	3845
244	1246	3842
245	1254	3845
246	1263	3851
247	1269	3849
248	1275	3845
249	1281	3844
250	1286	3839
251	1291	3834
252	1297	3830
253	1302	3825
254	1307	3820
255	1313	3818
256	1318	3812
257	1323	3806
258	1328	3801
259	1333	3795
260	1340	3794
261	1345	3790
262	1350	3784
263	1356	3780
264	1362	3779
265	1368	3775
266	1374	3772
267	1380	3770
268	1385	3763
269	1390	3759
270	1395	3754
271	1400	3749
272	1406	3746
273	1412	3742
274	1418	3738
275	1424	3735
276	1429	3730
277	1434	3726
278	1440	3721
279	1445	3717
280	1451	3712
281	1456	3708
282	1462	3704
283	1467	3699
284	1473	3696
285	1478	3690
286	1483	3685
287	1489	3683
288	1496	3682
289	1501	3675
290	1505	3667
291	1510	3663
292	1515	3657
293	1520	3652
294	1526	3647
295	1531	3642
296	1536	3636
297	1541	3632
298	1546	3626
299	1551	3620
300	1556	3615
301	1561	3609
302	1566	3604
303	1573	3602
304	1579	3599
305	1584	3593
306	1590	3591
307	1596	3586
308	1601	3581
309	1607	3577
310	1612	3572
311	1618	3568
312	1623	3564
313	1629	3559
314	1634	3554
315	1640	3551
316	1646	3546
317	1652	3542
318	1656	3536
319	1661	3531
320	1668	3528
321	1673	3522
322	1679	3519
323	1684	3513
324	1689	3509
325	1694	3504
326	1699	3498
327	1705	3494
328	1711	3489
329	1716	3485
330	1722	3480
331	1727	3475
332	1730	3466
333	1736	3462
334	1741	3456
335	1747	3452
336	1751	3445
337	1758	3443
338	1763	3439
339	1769	3434
340	1775	3430
341	1780	3425
342	1785	3419
343	1790	3414
344	1795	3409
345	1800	3403
346	1805	3398
347	1811	3393
348	1816	3387
349	1821	3382
350	1827	3378
351	1832	3373
352	1837	3368
353	1843	3363
354	1848	3357
355	1853	3353
356	1860	3350
357	1865	3344
358	1870	3340
359	1876	3335
360	1881	3329
361	1887	3326
362	1893	3322
363	1898	3316
364	1904	3313
365	1909	3308
366	1915	3304
367	1921	3299
368	1926	3294
369	1931	3288
370	1937	3284
371	1942	3279
372	1949	3276
373	1954	3271
374	1959	3266
375	1964	3260
376	1970	3255
377	1975	3251
378	1981	3247
379	1988	3244
380	1993	3239
381	1999	3235
382	2005	3230
383	2011	3226
384	2016	3221
385	2022	3216
386	2027	3211
387	2033	3206
388	2038	3201
389	2043	3196
390	2048	3190
391	2054	3186
